locality,yr,under_18,x18_and_over,unknown,missing,total,est_pop,youth_rate_100k,adult_rate_100k
Albemarle County,2016,5,71,22,NA,98,105715,4.729697772312349,67.16170836683536
Albemarle County,2017,6,84,14,NA,104,107697,5.571185826903256,77.99660157664559
Albemarle County,2018,5,88,19,NA,112,108639,4.6023987702390485,81.00221835620725
Albemarle County,2019,4,74,9,NA,87,109722,3.645577003700261,67.44317456845482
Albemarle County,2020,3,78,25,2,108,110545,2.713826948301597,70.5595006558415
Albemarle County,2021,3,57,8,17,85,114424,2.6218275886177724,49.814724183737674
Albemarle County,2022,9,79,19,20,127,115495,7.792545131823888,68.40122949045413
Albemarle County,2023,9,84,11,14,118,116148,7.74873437338568,72.32152081826635
Charlottesville City,2016,9,78,28,NA,115,49071,18.340771535122578,158.95335330439568
Charlottesville City,2017,12,73,13,1,99,49132,24.424000651306685,148.579337295449
Charlottesville City,2018,6,58,28,2,94,49281,12.175077616119802,117.69241695582477
Charlottesville City,2019,5,41,20,NA,66,49181,10.166527724121103,83.36552733779305
Charlottesville City,2020,3,67,32,18,120,49447,6.067102149776528,135.49861467834248
Charlottesville City,2021,4,76,13,50,143,51079,7.83100687170853,148.78913056246208
Charlottesville City,2022,11,86,3,34,134,51278,21.451694683880024,167.71324934669838
Charlottesville City,2023,7,63,2,28,100,51132,13.690057107095361,123.21051396385825
Virginia,2016,1018,9884,2215,3052,16169,8411808,12.102035614697815,117.50149313916818
Virginia,2017,1083,10991,1970,2890,16934,8470020,12.786274412575176,129.76356608366925
Virginia,2018,1009,10765,1902,2503,16179,8517685,11.845941708339765,126.38410554041387
Virginia,2019,1062,10913,1536,3268,16779,8535519,12.442125663360367,127.85397115277935
Virginia,2020,979,13228,1788,4339,20334,8586967,11.400998746123049,154.04740695987303
Virginia,2021,1030,13334,1845,4933,21142,8655608,11.899799528814151,154.05041448272613
Virginia,2022,1301,14549,1726,4812,22388,8696955,14.95925872906092,167.2884360100748
Virginia,2023,1401,14695,1054,4406,21556,8729032,16.049889609752835,168.34627253056237
