yr,location,victim_gender,offender_gender,intimate,family,acquaintance
2015,Albemarle County,Female,Female,NA,NA,NA
2015,Albemarle County,Female,Male,1,NA,NA
2015,Albemarle County,Male,Female,1,NA,NA
2015,Albemarle County,Male,Male,NA,NA,NA
2015,Charlottesville City,Female,Female,NA,NA,NA
2015,Charlottesville City,Female,Male,1,NA,2
2015,Charlottesville City,Male,Female,NA,NA,NA
2015,Charlottesville City,Male,Male,NA,NA,3
2016,Albemarle County,Female,Female,NA,NA,2
2016,Albemarle County,Female,Male,2,NA,NA
2016,Albemarle County,Male,Female,NA,NA,NA
2016,Albemarle County,Male,Male,NA,1,1
2016,Charlottesville City,Female,Female,NA,NA,NA
2016,Charlottesville City,Female,Male,3,NA,3
2016,Charlottesville City,Male,Female,NA,NA,NA
2016,Charlottesville City,Male,Male,NA,NA,8
2017,Albemarle County,Female,Female,NA,NA,NA
2017,Albemarle County,Female,Male,NA,1,NA
2017,Albemarle County,Male,Female,NA,1,NA
2017,Albemarle County,Male,Male,NA,2,1
2017,Charlottesville City,Female,Female,NA,NA,1
2017,Charlottesville City,Female,Male,3,NA,4
2017,Charlottesville City,Male,Female,1,NA,1
2017,Charlottesville City,Male,Male,NA,1,6
2018,Albemarle County,Female,Female,NA,NA,1
2018,Albemarle County,Female,Male,3,NA,1
2018,Albemarle County,Male,Female,NA,NA,1
2018,Albemarle County,Male,Male,NA,1,4
2018,Charlottesville City,Female,Female,NA,NA,NA
2018,Charlottesville City,Female,Male,3,NA,1
2018,Charlottesville City,Male,Female,NA,NA,NA
2018,Charlottesville City,Male,Male,NA,NA,6
2019,Albemarle County,Female,Female,NA,NA,NA
2019,Albemarle County,Female,Male,NA,NA,NA
2019,Albemarle County,Male,Female,NA,NA,NA
2019,Albemarle County,Male,Male,NA,NA,1
2019,Charlottesville City,Female,Female,NA,NA,NA
2019,Charlottesville City,Female,Male,NA,NA,3
2019,Charlottesville City,Male,Female,NA,NA,NA
2019,Charlottesville City,Male,Male,NA,NA,NA
2020,Albemarle County,Female,Female,NA,NA,2
2020,Albemarle County,Female,Male,2,1,1
2020,Albemarle County,Male,Female,1,NA,NA
2020,Albemarle County,Male,Male,NA,NA,NA
2020,Charlottesville City,Female,Female,NA,NA,2
2020,Charlottesville City,Female,Male,1,NA,3
2020,Charlottesville City,Male,Female,NA,NA,1
2020,Charlottesville City,Male,Male,NA,1,3
2021,Albemarle County,Female,Female,NA,NA,NA
2021,Albemarle County,Female,Male,2,NA,NA
2021,Albemarle County,Male,Female,NA,NA,1
2021,Albemarle County,Male,Male,NA,1,1
2021,Charlottesville City,Female,Female,NA,NA,1
2021,Charlottesville City,Female,Male,1,3,4
2021,Charlottesville City,Male,Female,1,NA,NA
2021,Charlottesville City,Male,Male,NA,NA,11
2022,Albemarle County,Female,Female,NA,NA,1
2022,Albemarle County,Female,Male,1,NA,1
2022,Albemarle County,Male,Female,1,NA,NA
2022,Albemarle County,Male,Male,NA,NA,1
2022,Charlottesville City,Female,Female,NA,NA,NA
2022,Charlottesville City,Female,Male,4,2,4
2022,Charlottesville City,Male,Female,NA,1,4
2022,Charlottesville City,Male,Male,NA,4,8
2023,Albemarle County,Female,Female,NA,NA,NA
2023,Albemarle County,Female,Male,1,1,2
2023,Albemarle County,Male,Female,1,NA,1
2023,Albemarle County,Male,Male,NA,NA,1
2023,Charlottesville City,Female,Female,NA,NA,NA
2023,Charlottesville City,Female,Male,2,1,NA
2023,Charlottesville City,Male,Female,NA,NA,1
2023,Charlottesville City,Male,Male,NA,2,5
